WDS,AName,Name,RA,DEC,date,TMP,PA,paerr,Sep,seperr,Dmag,QFLAG,TMP3
10038-0823, HDS1454         ,HIP 49305   , 150.9582,  -8.3857, 2019.1340 , I  2,     31.2,   0.2,   0.0959,   0.2,     0.2,  ,     -0.4   -0.001 SOAR2019
10050-5119, HU 1594         ,HIP 49394   , 151.2578, -51.3136, 2019.3800 , I  2,     27.8,   0.2,   0.0997,   0.2,     0.2,  ,     -2.5    0.010 Tok2015c
10078-4036, RST5344         , HD 87983    , 151.9411, -40.6040, 2019.0492 , I  2,    329.1,   0.2,   0.1125,   0.2,     1.1, q,                           
10084+1158, HDO 127 BC      , HD 87884    , 152.0533,  11.9969, 2019.2102 , I  2,     94.1,   0.4,   2.1849,   0.4,     3.0, ast,                           
10093+2020, A 2145          ,HIP 49747   , 152.3318,  20.3324, 2019.3797 , I  2,    224.6,   0.5,   0.2308,   0.5,     1.4, q,     -8.5    0.031 Msn2011e
10101-0824, CHR 177         ,HIP 49812   , 152.5315,  -8.4082, 2019.3797 , I  2,      9.0,   1.8,   0.2042,   1.8,     2.8,  ,                           
10111-7227, HDS1468 AB      ,HIP 49879   , 152.7715, -72.4579, 2019.9530 , I  2,    306.8,   0.4,   0.4093,   0.4,     2.8,  ,                           
10111-7227, HDS1468 BC      ,HIP 49879   , 152.7715, -72.4579, 2019.9530 , I  2,    195.7,   1.0,   0.0613,   1.0,     0.4,  ,                           
10112-3245, HDS1469         ,HIP 49883   , 152.7914, -32.7539, 2019.3717 , I  2,    237.4,   0.8,   0.0598,   0.8,     2.4,  ,    -44.5   -0.039 Tok2016e
10112-3245, HDS1469         ,HIP 49883   , 152.7902, -32.7537, 2019.9529 , I  2,    215.9,   0.2,   0.0507,   0.2,     2.2,  ,    -58.5   -0.059 Tok2016e
10116+1321, HU 874          ,HIP 49929   , 152.9091,  13.3552, 2019.2102 , y  2,    288.0,   0.2,   0.1680,   0.2,     1.2, q,     -0.1   -0.001 SOAR2019
10116+1321, HU 874          ,HIP 49929   , 152.9091,  13.3552, 2019.3797 , I  2,    288.3,   0.3,   0.1629,   0.3,     1.2, q,     -0.0   -0.001 SOAR2019
10121-0241, DEL 3           ,HIP 49969   , 153.0195,  -2.6847, 2019.2102 , I  2,     53.6,   0.1,   0.0972,   0.1,     1.0, q,     -0.2   -0.002 Tok2018b
10121-0241, DEL 3           ,HIP 49969   , 153.0195,  -2.6847, 2019.3770 , I  2,     49.9,   0.2,   0.0868,   0.2,     1.0, q,     -0.8    0.001 Tok2018b
10121-0241, DEL 3           ,HIP 49969   , 153.0225,  -2.6886, 2019.9502 , I  2,     25.2,   2.2,   0.0400,   2.2,     1.1,  ,     -0.2   -0.002 Tok2018b
10122-3125, JNN 315         , TWA 39      , 153.0379, -31.4126, 2019.5331 , I  2,     88.1,   0.1,   1.0073,   0.1,     0.0, ast,                           
10148+0509, HDS1477         ,HIP 50193   , 153.6907,   5.1474, 2019.2102 , I  2,    157.5,   0.4,   0.1895,   0.4,     2.7, q,                           
10152-5846, HU 1596 AB      , HD 89160    , 153.8110, -58.7662, 2019.9529 , I  2,    341.0,   0.4,   1.4205,   0.4,     1.1,  ,                           
10152-5846, HU 1596 BC      , HD 89160    , 153.8110, -58.7662, 2019.9529 , I  2,    195.3,   2.0,   0.2329,   2.0,     2.4,  ,                           
10161-2837, TOK 199         ,HIP 50288   , 154.0170, -28.6139, 2019.2102 , y  2,    158.6,   1.3,   0.0219,   1.3,     0.0,  ,     17.7   -0.004 Tok2015c
10161-2837, TOK 199         ,HIP 50288   , 154.0170, -28.6139, 2019.3772 , I  2,    128.7,   0.1,   0.0337,   0.1,     0.9,  ,     10.0    0.002 Tok2015c
10169+2229, A 2148          , ADS 7707    , 154.2310,  22.5204, 2019.2102 , I  2,    173.7,   0.2,   0.2178,   0.2,     0.1,  ,                           
10172-7252, HEI 494 AB      ,HIP 50381   , 154.3045, -72.8682, 2019.9530 , I  2,    105.7,   0.5,   0.2657,   0.5,     0.5,  ,                           
10172-7252, HEI 494 AC      ,HIP 50381   , 154.3045, -72.8682, 2019.9530 , I  2,    301.2,   0.9,   0.6624,   0.9,     2.9,  ,                           
10172-7252, HEI 494 CaCb   ,HIP 50381   , 154.3045, -72.8682, 2019.9530 , I  2,    138.0,   0.1,   0.0730,   0.1,     0.9, :,                           
10174-5354, CVN 16 AaAb    , TWA 22      , 154.3608, -53.9076, 2019.9529 , I  2,     86.9,   1.8,   0.1089,   1.8,     0.4,  ,      3.5    0.006 Tok2019c
10193-1232, RST3688         ,HIP 50536   , 154.8203, -12.5281, 2019.3797 , I  2,    142.8,   0.1,   0.4622,   0.1,     1.9, q,      0.0   -0.001 SOAR2019
10212-1736,HIP 50701       ,HIP 50701   , 155.2944, -17.5970, 2019.1342 , I  2,    109.5,   0.7,   1.0787,   0.7,     3.4, ast,                           
10214-2616, HDS1491         ,HIP 50724   , 155.3512, -26.2622, 2019.3717 , I  2,    350.5,   0.1,   0.1036,   0.1,     1.0, q,      0.6    0.001 Tok2019c
10217-0946, BU 25           ,HIP 50747   , 155.4311,  -9.7739, 2019.2102 , I  2,    129.0,   0.0,   1.5440,   0.0,     0.6, ast,      0.6   -0.009 Zir2012b
10217-0946, BU 25           ,HIP 50747   , 155.4313,  -9.7740, 2019.9502 , I  2,    128.5,   0.1,   1.5533,   0.1,     0.6, ast,      0.5    0.003 Zir2012b
10219-1419, RST3693         ,HIP 50756   , 155.4600, -14.3060, 2019.2102 , I  2,     67.8,   0.1,   0.8315,   0.1,     0.6, ast,                           
10231-5032,HIP 50861       ,HIP 50861   , 155.7795, -50.5272, 2019.2105 , I  2,    217.1,   0.5,   1.0611,   0.5,     3.6, ast,                           
10231-5032,HIP 50861       ,HIP 50861   , 155.7795, -50.5272, 2019.2105 , y  2,    217.1,   1.6,   1.0647,   1.6,     4.8, ast,                           
10231-5032,HIP 50861       ,HIP 50861   , 155.7795, -50.5272, 2019.9529 , I  2,    217.1,   0.9,   1.0703,   0.9,     3.5, ast,                           
10232+0542, TOK 200 AaAb   ,HIP 50870   , 155.8109,   5.6942, 2019.3797 , I  2,    335.5,   5.7,   1.0193,   5.7,     6.1,  ,                           
10255-6504, HDS1499         ,HIP 51031   , 156.3873, -65.0663, 2019.1341 , I  2,    121.1,   0.4,   0.0882,   0.4,     0.5, q,                           
10255-6504, HDS1499         ,HIP 51031   , 156.3873, -65.0663, 2019.2104 , I  2,    120.9,   0.1,   0.0876,   0.1,     0.5, q,                           
10260+0256, A 2570          ,HIP 51061   , 156.4945,   2.9292, 2019.9530 , y  2,    267.4,   0.1,   0.0457,   0.1,     0.0,  ,     -0.5   -0.001 Tok2019c
10264+2545, HDS1500         ,HIP 51094   , 156.5893,  25.7434, 2019.3772 , I  2,    305.4,   0.2,   0.1763,   0.2,     1.2, q,     -0.2   -0.002 Tok2019c
10267-4740, RST4928         ,HIP 51130   , 156.6831, -47.6597, 2019.3800 , I  2,     17.0,   3.4,   0.4377,   3.4,     3.2,  ,                           
10268-6254, HDS1501 BaBb   ,HIP 51138   , 156.6982, -62.9026, 2019.2104 , I  2,    280.6,   0.2,   0.0983,   0.2,     0.3,  ,                           
10268-6254, HDS1501 BaBb   ,HIP 51138   , 156.6982, -62.9026, 2019.3714 , I  2,    284.5,   0.4,   0.1053,   0.4,     0.0, :,                           
10268-6254, HDS1501 BaBb   ,HIP 51138   , 156.6953, -62.9035, 2019.9475 , I  2,    298.8,   0.1,   0.1349,   0.1,     0.3, q,                           
10282-2548, B 199 AC        ,HIP 51255   , 157.0434, -25.8074, 2019.9529 , I  2,    173.5,   0.3,   1.1985,   0.3,     2.5,  ,                           
10282-2548, FIN 308 AB      ,HIP 51255   , 157.0434, -25.8074, 2019.9529 , I  2,    168.2,   0.3,   0.0800,   0.3,     0.3,  ,      1.5   -0.000 Tok2015c
10283-6310, HDS1505         ,HIP 51265   , 157.0762, -63.1646, 2019.3800 , I  2,    129.9,   0.4,   0.0500,   0.4,     0.8,  ,                           
10283-6310, HDS1505         ,HIP 51265   , 157.0755, -63.1648, 2019.9475 , y  2,    133.3,   0.1,   0.0546,   0.1,     1.0,  ,                           
10294+1211, HDS1507         ,HIP 51360   , 157.3569,  12.1870, 2019.2102 , y  2,     21.4,   0.1,   0.1225,   0.1,     1.3, q,      1.3   -0.001 Tok2017b
10294+1211, HDS1507         ,HIP 51360   , 157.3561,  12.1873, 2019.9530 , I  2,     30.4,   0.1,   0.1244,   0.1,     1.1, q,      1.1    0.000 Tok2017b
10311-2411, B 201 AB        ,HIP 51501   , 157.7707, -24.1798, 2019.2102 , I  2,     68.2,   0.4,   1.9958,   0.4,     3.7, ast,                           
10311-2411, B 201 AB        ,HIP 51501   , 157.7710, -24.1802, 2019.9529 , I  2,     68.1,   0.5,   2.0077,   0.5,     3.4, ast,                           
10320+0831, YSC 39          ,HIP 51571   , 158.0029,   8.5102, 2019.9530 , I  2,     24.4,   0.3,   0.7986,   0.3,     2.1, ast,                           
10343-7807,HIP 51748       ,HIP 51748   , 158.5842, -78.1226, 2019.1338 , I  2,    121.9,  17.9,   3.3902,  17.9,     7.2, ast,                           
10345-3721, RST3706         ,HIP 51760   , 158.6292, -37.3536, 2019.9475 , y  2,    152.8,   0.1,   0.0312,   0.1,     0.0,  ,      1.3    0.000 SOAR2019
10361-2641, BU 411          ,HIP 51885   , 159.0187, -26.6754, 2019.2102 , y  2,    303.2,   0.1,   1.3290,   0.1,     1.1, ast,     -0.0   -0.002 Tok2014a
10361-2641, BU 411          ,HIP 51885   , 159.0187, -26.6754, 2019.3744 , I  2,    303.3,   0.1,   1.3206,   0.1,     1.1, ast,      0.1   -0.010 Tok2014a
10361-2641, BU 411          ,HIP 51885   , 159.0187, -26.6760, 2019.9529 , I  2,    302.8,   0.1,   1.3290,   0.1,     1.2, ast,     -0.1   -0.001 Tok2014a
10367+1522, DAE 3 AB        , RBS 887     , 159.1870,  15.3608, 2019.9530 , I  2,    239.7,   0.0,   0.7974,   0.0,     1.5, q,    181.0   -0.182 Jnn2017b
10367+1522, DAE 3 BC        , RBS 887     , 159.1870,  15.3608, 2019.9530 , I  2,    166.0,   0.7,   0.0864,   0.7,     0.1,  ,     -0.0    0.001 SOAR2019
10369-4233, B 1166          , HD 92039    , 159.2216, -42.5417, 2019.9475 , I  2,    276.5,   0.2,   1.3517,   0.2,     1.4, ast,                           
10370-0850, A 556 AaB      ,HIP 51966   , 159.2501,  -8.8399, 2019.2102 , y  3,    214.5,   0.2,   0.9260,   0.2,     2.8,  ,      1.7   -0.041 Tok2015b
10370-0850, A 556 AaB      ,HIP 51966   , 159.2501,  -8.8399, 2019.3770 , I  4,    214.9,   0.6,   0.9231,   0.6,     2.4,  ,      1.8   -0.045 Tok2015b
10370-0850, A 556 AaB      ,HIP 51966   , 159.2497,  -8.8399, 2019.9530 , y  3,    215.2,   0.3,   0.9227,   0.3,     3.0,  ,      1.0   -0.049 Tok2015b
10370-0850, TOK 44 AaAb    ,HIP 51966   , 159.2501,  -8.8399, 2019.2102 , y  3,      2.3,   0.4,   0.0952,   0.4,     2.7,  ,      5.0    0.010 Tok2015b
10370-0850, TOK 44 AaAb    ,HIP 51966   , 159.2501,  -8.8399, 2019.3770 , I  4,      9.6,   0.1,   0.0945,   0.1,     2.3,  ,      1.7    0.001 Tok2015b
10370-0850, TOK 44 AaAb    ,HIP 51966   , 159.2497,  -8.8399, 2019.9530 , y  3,     31.5,   0.6,   0.1260,   0.6,     2.7,  ,     -0.5   -0.001 Tok2015b
10373-4814, SEE 119         ,HIP 51986   , 159.3261, -48.2256, 2019.2105 , I  2,    209.6,   0.2,   0.1738,   0.2,     1.5, q,      0.0   -0.000 SOAR2019
10373-4814, SEE 119         ,HIP 51986   , 159.3261, -48.2256, 2019.3714 , I  2,    200.8,   0.5,   0.1394,   0.5,     1.5, q,     -0.8    0.001 SOAR2019
10373-4814, SEE 119         ,HIP 51986   , 159.3245, -48.2258, 2019.9529 , I  2,     59.9,   0.2,   0.0837,   0.2,     1.5,  ,     -0.1    0.000 SOAR2019
10375-0932, RST3708         , HD 92015    , 159.3649,  -9.5317, 2019.1344 , I  2,      1.3,   0.2,   0.5375,   0.2,     1.4, q,      1.3   -0.001 Tok2015c
10375-0932, RST3708         , HD 92015    , 159.3649,  -9.5317, 2019.2102 , y  2,      1.3,   0.3,   0.5383,   0.3,     1.6, q,      1.2   -0.001 Tok2015c
10375-0932, RST3708         , HD 92015    , 159.3649,  -9.5317, 2019.3770 , I  2,      1.6,   0.2,   0.5362,   0.2,     1.3, q,      1.4   -0.004 Tok2015c
10377-1103,HIP 52023       ,HIP 52023   , 159.4348, -11.0497, 2019.1344 , I  1,    245.2,   0.9,   0.4453,   0.9,     3.6, q,                           
10377-1103,HIP 52023       ,HIP 52023   , 159.4348, -11.0497, 2019.9503 , I  2,    243.7,   0.7,   0.4404,   0.7,     3.7, q,                           
10387+0544, STF1457         ,HIP 52097   , 159.6797,   5.7341, 2019.3797 , I  2,    334.2,   1.1,   1.8524,   1.1,     0.5, ast,      0.3    0.009 RAO2015 
10397-3755, HDS1523         ,HIP 52190   , 159.9348, -37.9204, 2019.0492 , I  2,    285.4,   0.5,   0.2198,   0.5,     1.4, q,     -0.2    0.000 SOAR2019
10397-3755, HDS1523         ,HIP 52190   , 159.9355, -37.9209, 2019.9475 , I  2,    240.6,   0.4,   0.2952,   0.4,     1.2, q,     -0.2    0.001 SOAR2019
10412-3654, HDS1528         ,HIP 52296   , 160.2889, -36.8954, 2019.3717 , I  2,     39.4,   0.2,   0.7885,   0.2,     2.1, ast,                           
10412-3654, HDS1528         ,HIP 52296   , 160.2889, -36.8954, 2019.3717 , R  2,     39.4,   0.9,   0.7888,   0.9,     2.6, ast,                           
10412-3654, HDS1528         ,HIP 52296   , 160.2889, -36.8954, 2019.3717 , y  2,     39.4,   3.3,   0.7900,   3.3,     2.9, :,                           
10412-3654, HDS1528         ,HIP 52296   , 160.2900, -36.8965, 2019.9475 , I  2,     35.2,   0.2,   0.7867,   0.2,     2.1, ast,                           
10419-7811, HDS1530         ,HIP 52351   , 160.4730, -78.1837, 2019.9531 , I  2,     44.7,   0.1,   0.2476,   0.1,     0.5, q,     -0.0   -0.002 Tok2019c
10426+0335, A 2768          ,HIP 52401   , 160.6564,   3.5830, 2019.3772 , I  2,    239.4,   0.6,   0.6204,   0.6,     1.7, q,      0.3    0.000 Tok2015c
10426+0335, A 2768          ,HIP 52401   , 160.6560,   3.5832, 2019.9530 , I  2,    238.2,   0.4,   0.6237,   0.4,     1.6, ast,     -0.3    0.004 Tok2015c
10430-0913, WSI 112         , WT 1827     , 160.7508,  -9.2094, 2019.9503 , I  2,    136.2,   0.8,   0.5752,   0.8,     2.0, ast,                           
10444-6000, HDS1534 AaAb   ,HIP 52526   , 161.0955, -59.9933, 2019.1394 , I  2,    325.3,   1.4,   1.0080,   1.4,     4.0, ast,                           
10444-6000, HDS1534 AaAb   ,HIP 52526   , 161.0955, -59.9933, 2019.2050 , I  2,    325.4,   0.8,   1.0157,   0.8,     2.7, ast,                           
10444-6000, HDS1534 AaAb   ,HIP 52526   , 161.0955, -59.9933, 2019.3714 , I  2,    325.3,   2.7,   1.0083,   2.7,     4.2, ast,                           
10444-6000, HDS1534 AaAb   ,HIP 52526   , 161.0955, -59.9933, 2019.3742 , I  2,    325.3,   1.6,   1.0082,   1.6,     4.0, ast,                           
10455-2502, I 502 AB        ,HIP 52615   , 161.3871, -25.0261, 2019.2102 , y  2,    191.5,   0.7,   0.0924,   0.7,     1.3, q,     -1.0    0.003 Tok2019c
10465-6416, FIN 364 AB      ,HIP 52701   , 161.6232, -64.2632, 2019.9530 , y  2,    314.9,   0.0,   0.0804,   0.0,     0.6, q,    177.8    0.002 Tok2015c
10465-6416, TOK 45 AC       ,HIP 52701   , 161.6232, -64.2632, 2019.9530 , y  2,    198.8,   0.1,   0.6694,   0.1,     4.4,  ,                           
10472-1725, HDS1541         ,HIP 52752   , 161.7920, -17.4239, 2019.1342 , I  2,    299.2,   0.4,   0.2419,   0.4,     2.3, q,                           
10476-1538, TOK 714 AaAb   ,HIP 52792   , 161.9023, -15.6267, 2019.1342 , y  2,    296.7,   0.2,   0.0602,   0.2,     0.3,  ,     -0.0   -0.001 SOAR2019
10476-1538, TOK 714 AaAb   ,HIP 52792   , 161.9023, -15.6267, 2019.2102 , y  2,    295.1,   0.6,   0.0589,   0.6,     0.4,  ,     -0.5   -0.002 SOAR2019
10476-1538, TOK 714 AaAb   ,HIP 52792   , 161.9016, -15.6269, 2019.9503 , y  2,    285.1,   0.3,   0.0553,   0.3,     0.3,  ,      1.9    0.001 SOAR2019
10490-7449, HEI 498         , HD 94081    , 162.2499, -74.8203, 2019.2104 , I  2,    132.9,   0.2,   0.0926,   0.2,     0.6, q,                           
10490-7449, HEI 498         , HD 94081    , 162.2490, -74.8203, 2019.9530 , I  2,    131.6,   0.2,   0.0959,   0.2,     0.5,  ,                           
10525-1838, HU 460          ,HIP 53156   , 163.1329, -18.6367, 2019.2102 , I  2,     10.4,   0.1,   0.5784,   0.1,     0.8, ast,                           
10527-1702, TOK 277 BaBb   ,             , 163.0828, -17.0246, 2019.2102 , I  2,    331.4,  12.7,   0.1760,  12.7,     0.0, :,                           
10527-1702, TOK 277 BaBb   ,             , 163.0827, -17.0256, 2019.9503 , I  3,    334.8,   6.9,   0.2421,   6.9,     0.0, :,                           
10529-1717, HDS1556         ,HIP 53206   , 163.2363, -17.2773, 2019.2102 , y  2,    295.6,   0.1,   0.0743,   0.1,     0.3,  ,     -5.6    0.023 Tok2017b
10529-1717, HDS1556         ,HIP 53206   , 163.2352, -17.2769, 2019.9503 , I  2,    290.0,   0.0,   0.1479,   0.0,     0.2,  ,     -2.1    0.020 Tok2017b
10530+0458, TOK 438         ,HIP 53212   , 163.2588,   4.9626, 2019.9530 , I  2,    191.6,   0.2,   0.0822,   0.2,     0.6,  ,                           
10547-0719, CRC 62          , G 163-21    , 163.6739,  -7.3113, 2019.9503 , I  2,     74.8,   0.2,   0.8709,   0.2,     0.9, ast,                           
10557+0044, BU 1076         ,HIP 53423   , 163.9267,   0.7369, 2019.3797 , I  2,     49.9,   0.4,   1.0955,   0.4,     2.8, ast,      0.1   -0.001 Tok2015c
10560-0254,HIP 53443       ,HIP 53443   , 163.9948,  -2.8926, 2019.1344 , I  2,    318.1,   0.4,   0.0972,   0.4,     1.8,  ,                           
10560-0254,HIP 53443       ,HIP 53443   , 163.9948,  -2.8926, 2019.3770 , I  2,    318.0,   1.3,   0.1028,   1.3,     1.9, q,                           
10560-0254,HIP 53443       ,HIP 53443   , 163.9948,  -2.8926, 2019.9503 , I  2,    319.6,   0.6,   0.1071,   0.6,     1.8, q,                           
10596+1800, HDS1568         ,HIP 53731   , 164.8945,  17.9994, 2019.2103 , I  2,    226.3,   1.1,   0.0631,   1.1,     1.4,  ,      2.6   -0.006 Tok2019d
10596+1800, HDS1568         ,HIP 53731   , 164.8945,  17.9994, 2019.3715 , I  2,    215.3,   0.7,   0.0447,   0.7,     1.1,  ,      2.2   -0.018 Tok2019d
11000-3507, TOK 788 AB      ,HIP 53776   , 165.0112, -35.1096, 2019.0492 , I  2,     10.7,   0.8,   0.6483,   0.8,     2.1,  ,                           
11000-3507, TOK 788 AB      ,HIP 53776   , 165.0112, -35.1096, 2019.9476 , I  2,      5.6,   0.2,   0.6640,   0.2,     2.2,  ,                           
11000-3507, TOK 788 BC      ,HIP 53776   , 165.0112, -35.1096, 2019.0492 , I  2,    205.3,   1.0,   0.1131,   1.0,     0.0,  ,                           
11000-3507, TOK 788 BC      ,HIP 53776   , 165.0112, -35.1096, 2019.9476 , I  2,    174.8,   0.9,   0.1234,   0.9,     0.0,  ,                           
11007-6911, HDS1571         ,HIP 53825   , 165.1865, -69.1863, 2019.2104 , I  2,    228.2,   0.3,   0.1567,   0.3,     0.6, q,                           
11009-4030, FIN 365         ,HIP 53840   , 165.2130, -40.4981, 2019.3717 , y  3,     37.1,   0.5,   0.0334,   0.5,     0.0,  ,      3.6    0.004 Tok2015c
11009-4030, FIN 365         ,HIP 53840   , 165.2117, -40.4984, 2019.9476 , y  2,    355.4,   0.2,   0.0328,   0.2,     0.0,  ,      7.4    0.000 Tok2015c
11014-1204, HDS1572         ,HIP 53879   , 165.3470, -12.0595, 2019.3744 , I  2,    157.7,   0.4,   0.1072,   0.4,     1.3, q,     -0.6   -0.004 Tok2019c
11022-4230, TOK 715 AaAb   ,HIP 53938   , 165.5486, -42.4979, 2019.9529 , I  2,    133.6,   0.3,   0.1188,   0.3,     1.6, q,                           
11043-3643, HDS1579         ,HIP 54106   , 166.0695, -36.7216, 2019.1399 , I  2,     76.0,   1.1,   0.1816,   1.1,     2.7, q,      0.2    0.000 Tok2019d
11047-0413, A 676 BC        ,HIP 54155   , 166.1700,  -4.2239, 2019.9530 , I  2,    234.3,   0.2,   0.2441,   0.2,     0.1,  ,      3.2   -0.009 Doc2001e
11049-3548, HDS1582         ,HIP 54173   , 166.2257, -35.8047, 2019.9476 , y  2,    226.2,   0.3,   0.0386,   0.3,     1.8,  ,                           
11053-2718, FIN 47 AB       ,HIP 54204   , 166.3323, -27.2936, 2019.9529 , y  2,     41.2,   0.1,   0.0915,   0.1,     0.1,  ,      0.2    0.000 SOAR2019
11064-3545, DAW 132 AB      ,HIP 54288   , 166.5956, -35.7484, 2019.3772 , I  3,    129.7,   0.4,   1.8473,   0.4,     1.2, ast,     -0.0   -0.001 SOAR2019
11065+1416, HU 885 AB       ,HIP 54299   , 166.6316,  14.2623, 2019.2103 , I  2,    254.3,   0.1,   2.1336,   0.1,     1.1, ast,                           
11080-6457, HDS1588         ,HIP 54405   , 166.9909, -64.9559, 2019.9530 , I  2,     14.8,   0.1,   0.4985,   0.1,     1.5, q,                           
11083-7734, GHE 27 ABa     , HP Cha      , 167.0634, -77.5647, 2019.1338 , I  2,    284.0,   0.1,   2.4934,   0.1,     1.2,  ,                           
11083-7734, SDT 4 BaBb     , HP Cha      , 167.0634, -77.5647, 2019.1338 , I  2,     83.5,   0.1,   0.1871,   0.1,     2.0,  ,                           
11088-7519, KOH 89 AB       ,             , 167.2219, -75.3271, 2019.2104 , I  3,    238.2,   1.0,   0.1579,   1.0,     2.1,  ,                           
11094-7627, LAF 9           , CHXR 37     , 167.3238, -76.4661, 2019.1338 , I  2,     85.2,   0.4,   0.0728,   0.4,     0.0, :,                           
11095-5609, HU 1481         , HD 97030    , 167.3694, -56.1601, 2019.1394 , I  2,    177.8,   0.3,   0.1241,   0.3,     0.2, :,                           
11097-7629, LAF 10 AaAb    , CHX 15b     , 167.4170, -76.4776, 2019.2104 , I  2,     86.6,   1.0,   0.0885,   1.0,     0.1, :,                           
11102-1122, HDS1590         ,HIP 54580   , 167.5498, -11.3605, 2019.9503 , y  2,     50.2,   0.1,   0.1545,   0.1,     0.0,  ,      3.4   -0.002 Tok2016e
11106-3234, I 213 AB        ,HIP 54611   , 167.6438, -32.5641, 2019.9476 , I  2,     83.3,   0.4,   0.1905,   0.4,     2.7,  ,                           
11106-3234, I 213 AC        ,HIP 54611   , 167.6438, -32.5641, 2019.9476 , I  2,    173.8,   1.0,   0.0617,   1.0,     3.2, :,                           
11116-1459, BEU 15          ,HIP 54677   , 167.8902, -14.9933, 2019.9503 , I  2,     90.5,   0.7,   0.1071,   0.7,     1.5,  ,                           
11122-4616, HDS1596         ,HIP 54718   , 168.0427, -46.2668, 2019.0492 , I  2,    237.1,   1.1,   0.1153,   1.1,     2.1,  ,                           
11122-4616, HDS1596         ,HIP 54718   , 168.0427, -46.2668, 2019.3800 , I  2,    247.2,   4.3,   0.1185,   4.3,     2.0,  ,                           
11122-4616, HDS1596         ,HIP 54718   , 168.0423, -46.2668, 2019.9476 , y  2,    250.4,   0.7,   0.1259,   0.7,     2.6, q,                           
11126-4658, HDS1598         ,HIP 54750   , 168.1458, -46.9664, 2019.9476 , y  2,     89.1,   0.1,   0.2071,   0.1,     2.6, q,                           
11127-7722, WOI 1 AB        , Cha T 2-54  , 168.1775, -77.3732, 2019.9531 , I  2,    252.6,   0.8,   0.2153,   0.8,     2.2, q,                           
11132+0014, YSC 208         ,HIP 54803   , 168.2930,   0.2393, 2019.3770 , I  2,    344.0,   0.2,   0.2687,   0.2,     0.2,  ,                           
11132+0014, YSC 208         ,HIP 54803   , 168.2907,   0.2382, 2019.9530 , I  2,    339.0,   0.1,   0.2922,   0.1,     0.2,  ,                           
11136-4749, HDS1602         ,HIP 54836   , 168.3961, -47.8238, 2019.0492 , I  2,    231.1,   0.1,   0.1430,   0.1,     0.3, q,                           
11155-6725, HDS1605 AaAb   ,HIP 54980   , 168.8690, -67.4099, 2019.1341 , I  2,     24.4,   1.7,   0.5204,   1.7,     2.8,  ,                           
11155-6725, HDS1605 AaC    ,HIP 54980   , 168.8690, -67.4099, 2019.1341 , I  2,    200.2,   2.0,   2.6416,   2.0,     4.6,  ,                           
11159+1318, MCA 35          ,HIP 55016   , 168.9663,  13.3076, 2019.2103 , y  2,    278.0,   0.1,   0.0637,   0.1,     2.6,  ,      2.4    0.000 Msn1997b
11159+1318, MCA 35          ,HIP 55016   , 168.9663,  13.3076, 2019.3797 , y  4,    277.4,   4.2,   0.0627,   4.2,     2.6,  ,     -0.5   -0.001 Msn1997b
11162-4652, RST 532         , CD-46 6903  , 169.0607, -46.8663, 2019.5359 , I  2,    269.2,   0.1,   0.5156,   0.1,     1.1, q,                           
11165-4553, HJ 4423         ,HIP 55068   , 169.1156, -45.8800, 2019.3800 , I  3,    275.7,   1.3,   2.6214,   1.3,     0.3, ast,      0.1   -0.007 Kiy2017 
11168-0509, A 5 AB          , HD 98079    , 169.2042,  -5.1523, 2019.9503 , I  2,    265.8,   0.0,   0.2232,   0.0,     0.5, q,                           
11177+2722,HIP 55170       ,HIP 55170   , 169.4346,  27.3622, 2019.2103 , I  2,    116.4,   0.9,   0.0687,   0.9,     1.4, q,                           
11177-7059, HDS1611         ,HIP 55169   , 169.4297, -70.9775, 2019.9530 , I  2,    102.3,   1.7,   0.2076,   1.7,     4.1,  ,                           
11179-5914, HDS1612         ,HIP 55181   , 169.4736, -59.2364, 2019.9530 , y  2,     72.8,   0.2,   0.1781,   0.2,     0.0,  ,                           
11179-5914, HDS1612         ,HIP 55181   , 169.4736, -59.2364, 2019.9530 , I  3,     72.8,   0.1,   0.1779,   0.1,     0.1,  ,                           
11190+1416, STF1527         ,HIP 55254   , 169.7496,  14.2686, 2019.3797 , y  2,    296.0,   0.6,   0.4253,   0.6,     1.0,  ,      0.4    0.008 Tok2012b
11190+1416, STF1527         ,HIP 55254   , 169.7496,  14.2686, 2019.3797 , I  2,    296.0,   0.2,   0.4244,   0.2,     1.0,  ,      0.4    0.007 Tok2012b
11197+2653, LSC 47          ,HIP 55320   , 169.9259,  26.8836, 2019.2103 , I  2,    262.5,   0.8,   0.0409,   0.8,     0.0,  ,                           
11210-5429, I 879           ,HIP 55425   , 170.2517, -54.4910, 2019.3800 , y  2,    113.1,   0.2,   0.3286,   0.2,     1.5, q,      0.6    0.002 Tok2012b
11221-2447, I 507 AB        ,HIP 55505   , 170.5220, -24.7777, 2019.1399 , I  2,      6.5,   0.3,   0.4293,   0.3,     0.2,  ,      0.0   -0.001 Tok2018e
11221-2447, I 507 AB        ,HIP 55505   , 170.5218, -24.7778, 2019.9503 , I  2,      6.9,   0.0,   0.3952,   0.0,     0.2, q,      0.2   -0.003 Tok2018e
11224-4439, HDS1618         ,HIP 55528   , 170.5965, -44.6459, 2019.1399 , I  2,     53.0,   0.8,   0.6651,   0.8,     4.1,  ,                           
